Altium Designer Pick and Place Locations
C:\Users\tommy\Documents\smartwatch\Hardware\SmartWatch\Documentation\Pick and Place\H-Watch_Pick and Place.csv

========================================================================================================================
File Design Information:

Date:       08/10/20
Time:       11:01
Revision:   debd5b652e57994eff64a05640bf14c56374ca45
Variant:    NoU3
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L1","2.2u","TopLayer","INDC2013X140X50LL20T20","34.8250","18.2000","180","Wire-Wound Chip Power Inductor, 2.2 uH, +/- 20%, -40 to 105 degC, 2-Pin SMD (0805), RoHS, Tape and Reel"
"SW1","B3U-1000P","BottomLayer","OMRON-B3U-1000_V","3.7500","10.1250","135","Ultra-Small Tactile Switch, 0.05 A, 12 V, -25 to 70 degC, 2-Pin SMD, RoHS, Tape and Reel"
"U11","STM32WB55RGV6","BottomLayer","FP-VFQFPN-68-B029-MFG","9.9000","21.2000","270","ULTRA-LOW-POWER DUAL CORE ARM CO"
"U17","NUP3112UPMUTAG","TopLayer","ONSC-UDFN-6-517AP-01_V","3.8875","9.9565","180","Quad Transient Voltage Suppressor Array, ESD Protection Diodes with Ultra-Low (0.7 pF) Capacitance, 6-Pin UDFN, Pb-Free, Tape and Reel"
"U13","MLPF-WB55-01E3","BottomLayer","MLPF-WB55-01E3","17.4499","20.0751","180","Prices include import duty and tax. RF FILTER, 2.4GHZ TO 2.5GHZ, WLCSP-6;"
"L4","6.8u","TopLayer","SUMI-CDRH5D28_V","33.1750","13.8500","0","Power Inductor, 6.2 uH, +/- 30%, 1.8 A, -40 to 100 degC, 2-Pin SMD, RoHS, Tape and Reel"
"U15","BC95GJB-02-STD","TopLayer","BC95GJB-02-STD","18.6750","15.1190","180","NB-IoT Module 54Kbps UART 700MHz to 2100MHz 3.6V Surface Mount"
"U3","LPS22HBTR","BottomLayer","FP-HLGA-10L-8479831-0","24.7250","2.0500","270","MEMS NANO PRESSURE SENSOR: 260-1"
"U5","MP34DT05TR-A","TopLayer","FP-HCLGA-DM00231908-MFG","3.2500","23.2250","0","MEMS AUD MIC SENSOR OMNI 4HCLGA"
"D1","SML-P11VTT86R","BottomLayer","FP-SML-P1-MFG","2.2750","21.5250","360","LED RED CLEAR 1006 SMD"
"U2","MAX30101EFD+","BottomLayer","FP-F143A5-1-MFG","22.5392","18.9000","180","INTEGRATED OPTICAL SENSOR"
"L3","1.5u","TopLayer","COILCRAFT-IND-LPS3015","27.2000","31.9250","90","INDUCTOR, SHLD, 1.5UH, 20%, 1.3A, SMD"
"U1","LSM303AGRTR","BottomLayer","FP-LGA-12-8487206-MFG","28.6000","9.6750","180","IMU ACCEL/MAG I2C/SPI 12LGA"
"U4","LSM6DSMTR","TopLayer","FP-LGA-14L-DM00249496-MFG","9.0250","29.3750","0","IMU ACCEL/GYRO I2C/SPI 14LGA"
"U7","BQ25570RGRT","TopLayer","QFN50P350X350X100_HS-21L","19.7250","31.6250","0","IC ENERGY HARV CTRLR BATT 20VQFN"
"L5","10u","BottomLayer","MURA-IND0805_L","10.3000","14.7742","180","Fixed Inductor, 10 uH, +/-20%, -55 to 125 degC, 2-Pin SMD (0805), RoHS, Tape and Reel"
"L2","CBC3225T220MR","TopLayer","INDC1210(3225)X27_L","16.0750","32.6750","90","FIXED IND 22UH 780MA 351 MOHM"
"U10","LM3658SD","TopLayer","SDA10A","31.9950","27.0000","0","Dual Source USB/AC Li Chemistry Charger IC for Portable Applications, 10-pin LLP"
"Y1","ABS06-107-32.768KHZ-T","BottomLayer","DFN140P200X60-2N-ABS06","8.7000","27.3887","180","CRYSTAL 32.7680KHZ 4PF SMD"
"X3","GRPB012VWVN-RC","TopLayer","Pin_Header,_1x2,_TH","29.6250","30.4500","90","CONN HEADER 1.27mm Pitch 1x2 POS TH DL PCB AU"
"X2","GRPB012VWVN-RC","TopLayer","Pin_Header,_1x2,_TH","27.4500","27.7750","360","CONN HEADER 1.27mm Pitch 1x2 POS TH DL PCB AU"
"X1","GRPB012VWVN-RC","TopLayer","Pin_Header,_1x2,_TH","15.4500","35.4250","180","CONN HEADER 1.27mm Pitch 1x2 POS TH DL PCB AU"
"R12","10k","BottomLayer","RESC1005X40X25LL05T05","10.4886","27.3887","270","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R10","10k","BottomLayer","RESC1005X40X25LL05T05","5.6250","7.1750","270","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R2","10k","TopLayer","RESC1005X40X25LL05T05","36.1000","20.7250","90","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C7","220n","BottomLayer","CAPC1005X55X25ML05T10","28.4250","7.3500","0","Chip Capacitor, 220 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C48","10u","BottomLayer","CAPC1005X70X10NL05","12.7000","28.9953","270","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C46","10u","BottomLayer","CAPC1005X70X10NL05","4.0721","23.6173","360","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C44","10u","BottomLayer","CAPC1005X70X10NL05","4.4836","14.9992","90","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C42","10u","BottomLayer","CAPC1005X70X10NL05","15.7449","20.8000","180","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C18","10u","TopLayer","CAPC1005X70X10NL05","4.1250","27.6250","180","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C16","10u","TopLayer","CAPC1005X70X10NL05","7.3500","25.6250","0","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C14","10u","TopLayer","CAPC1005X70X10NL05","13.0500","29.3500","270","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C12","10u","BottomLayer","CAPC1005X70X10NL05","26.9250","3.8500","90","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C10","10u","BottomLayer","CAPC1005X70X10NL05","23.7250","4.6750","270","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C9","10u","BottomLayer","CAPC1005X70X10NL05","19.2642","17.0000","360","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C8","10u","BottomLayer","CAPC1005X70X10NL05","19.2642","18.1000","360","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C5","10u","BottomLayer","CAPC1005X70X10NL05","31.2000","9.8100","270","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C3","10u","BottomLayer","CAPC1005X70X10NL05","28.4250","11.8500","180","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C1","10u","BottomLayer","CAPC1005X70X10NL05","19.2642","20.4000","360","Chip Capacitor, 10 uF, +/- 20%, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C58","NM","BottomLayer","CAPC1608X90X35ML10T15","24.0000","13.8000","360","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C57","NM","BottomLayer","CAPC1608X90X35ML10T15","24.5250","7.6190","360","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C39","4.7u","BottomLayer","CAPC1608X90X20ML10","9.2750","12.6815","360","CAP, Ceramic, 4.7 uF, +/- 10%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C30","4.7u","TopLayer","CAPC1608X90X20ML10","30.2000","5.3000","45","CAP, Ceramic, 4.7 uF, +/- 10%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C20","4.7u","TopLayer","CAPC1608X90X20ML10","32.0750","18.3000","360","CAP, Ceramic, 4.7 uF, +/- 10%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C24","CAP 4.7uF","TopLayer","CAPC0603(1608)100_L","14.6250","29.4750","90","CAP 4.7uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C21","CAP 4.7uF","TopLayer","CAPC0603(1608)100_L","19.0750","35.5750","0","CAP 4.7uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C33","CAP 1uF","TopLayer","CAPC0603(1608)100_L","31.2250","23.5000","180","CAP 1uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C32","CAP 1uF","TopLayer","CAPC0603(1608)100_L","31.5000","29.8150","315","CAP 1uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C25","CAP 10nF","TopLayer","CAPC0603(1608)100_L","16.3750","30.1000","0","CAP 10nF 10V ±2% 0603 (1608 Metric) Thickness 1mm SMD"
"C22","CAP 10nF","TopLayer","CAPC0603(1608)100_L","19.1556","34.4364","0","CAP 10nF 10V ±2% 0603 (1608 Metric) Thickness 1mm SMD"
"U8","TPS63031DSKR","TopLayer","DSK10-2000X1200TP_V","23.6750","33.2250","180","Buck-Boost Switching Regulator IC Positive Fixed 3.3V 1 Output 900mA (Switch) 10-WFDFN Exposed Pad"
"U9","TPS62202DBVT","TopLayer","Z5+1_N","31.5000","8.6500","90","Buck Switching Regulator IC Positive Fixed 1.8V 1 Output 300mA SOT-23"
"U6","TPS61096ADSST","TopLayer","SON50P200X80_HS-13N","33.8000","20.9000","90","Boost Switching Regulator IC Positive Fixed 3.3V, - 2 Output 350mA (Switch) 6-WFDFN"
"U12","AMCA31-2R450G-S1F-T3","BottomLayer","AMCA31","20.1349","23.6889","360","Antennas 2.45GHz BW 90dB + Gain -1 dBi avg."
"R4","7M32","TopLayer","RESC0603(1608)_L","19.2500","28.8750","0","7M32 0.1W 1% 0603 (1608 Metric)  SMD"
"U16","FR01-S4-224","BottomLayer","FR01-S4-224","29.8000","18.8000","90","700MHz, 800MHz, 850MHz, 900MHz, 1.7GHz, 1.8GHz, 1.9GHz, 2GHz, 2.1GHz, 2.3GHz, 2.5GHz, 2.6GHz, 3.5GHz, 3.7GHz DCS, GSM, LTE, PCS, UMTS Chip RF Antenna 698MHz ~ 960MHz, 1.71GHz ~ 2.69GHz, 3.4GHz ~ 3.8GHz 1.6dBi, 3.7dBi, 3.1dBi Solder Surface Mount"
"J12","104224-0820","BottomLayer","1042240820","17.0000","7.2750","180","6 Position Card Connector NANO SIM Surface Mount, Right Angle Gold"
"R7","5M6","TopLayer","RESC0603(1608)_L","23.6750","30.6000","90","5M6 0.1W 1% 0603 (1608 Metric)  SMD"
"R6","5M6","TopLayer","RESC0603(1608)_L","16.8250","28.8750","0","5M6 0.1W 1% 0603 (1608 Metric)  SMD"
"R5","5M49","TopLayer","RESC0603(1608)_L","22.4750","30.6250","270","5M49 0.1W 1% 0603 (1608 Metric)  SMD"
"Y2","ABM12-32.000MHZ-B2X-T3","BottomLayer","ABM12","13.5393","15.5867","360","32MHz ±20ppm Crystal 8pF 200 Ohm -20°C ~ 70°C  Surface Mount 4-SMD, No Lead (DFN, LCC)"
"R3","1M62","TopLayer","RESC0603(1608)_L","21.6000","28.8750","0","1M62 0.1W 1% 0603 (1608 Metric)  SMD"
"R9","10K","TopLayer","RESC0603(1608)_L","34.6750","25.6250","270","10K 0.1W 1% 0603 (1608 Metric)  SMD"
"R8","10K","TopLayer","RESC0603(1608)_L","29.6250","25.2750","90","10K 0.1W 1% 0603 (1608 Metric)  SMD"
"J2","52892-1033","BottomLayer","MOLX-52892-1033","19.3392","27.4203","360","0.5 mm Pitch Easy-On(TM) Type FPC Connector, 2.0 mm Mated Height, Right Angle, ZIF, SMT, Bottom Contact, 10 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel"
"J1","SOIC_Programmer","BottomLayer","Programmer","2.1350","17.4350","90",""
"R19","22R","TopLayer","RESC1005X40X25LL05T05","6.1336","9.6815","180",""
"R18","22R","TopLayer","RESC1005X40X25LL05T05","6.1336","10.8006","180",""
"R17","22R","TopLayer","RESC1005X40X25LL05T05","6.1336","11.8506","180",""
"R16","1k","TopLayer","RESC1005X40X25NL05T05","6.2250","22.5190","0",""
"R15","1k","TopLayer","RESC1005X40X25NL05T05","6.2250","16.9500","180",""
"R14","1k","TopLayer","RESC1005X40X25NL05T05","6.2250","21.4500","0",""
"R13","0R","BottomLayer","RESC1609X55X30ML10T20","25.0000","10.6065","90",""
"R11","1.5k","BottomLayer","RESC1005X40X25ML05T10","4.3250","21.5500","360",""
"R1","30k","TopLayer","RESC1005X40X25ML05T05","36.1500","22.6000","90",""
"J11","Solder Jumper","BottomLayer","Small_Solder_Jumper","11.2569","28.9953","90",""
"J10","Solder Jumper","BottomLayer","Small_Solder_Jumper","6.6500","29.6000","90",""
"J9","Solder Jumper","BottomLayer","Small_Solder_Jumper","6.6000","12.6750","270",""
"J8","Solder Jumper","BottomLayer","Small_Solder_Jumper","4.7500","17.5500","180",""
"J7","Solder Jumper","BottomLayer","Small_Solder_Jumper","15.8875","15.5542","360",""
"J6","Solder Jumper","BottomLayer","Small_Solder_Jumper","13.9976","26.9879","90",""
"J5","Solder Jumper","BottomLayer","Small_Solder_Jumper","4.0721","26.5338","180",""
"J4","Solder Jumper","BottomLayer","Small_Solder_Jumper","4.6221","13.0771","270",""
"J3","Solder Jumper","BottomLayer","Small_Solder_Jumper","16.2949","22.4000","360",""
"C62","33p","TopLayer","CAPC1005X56X25ML10T15","4.4875","12.1750","270",""
"C61","33p","TopLayer","CAPC1005X56X25ML10T15","3.0375","12.1750","270",""
